i,j,minutos
15,32,74
15,33,75
15,34,76
15,35,53
15,36,53
15,37,195
15,38,196
15,39,196
15,40,1
15,41,3
15,42,5
15,43,112
15,44,109
15,45,108
15,46,206
15,47,211
15,48,209
15,49,101
15,50,110
15,51,98
15,52,25
15,53,32
15,54,181
15,55,183
15,56,286
15,57,286
15,58,107
15,59,113
15,60,210
15,61,209
15,62,213
15,63,41
15,64,40
15,65,42
15,66,65
15,67,49
15,68,57
15,69,110
15,70,110
15,71,113
15,72,183
15,73,184
15,74,246
15,75,243
15,76,246
15,77,219
15,78,218
15,79,192
15,80,186
15,81,184
15,82,205
15,83,205
15,84,204
15,85,254
15,86,255
15,87,264
15,88,103
15,89,107
15,90,103
15,91,39
15,92,36
15,93,43
15,94,84
15,95,80
15,96,68
15,97,168
15,98,169
16,1,289
16,2,288
16,3,291
16,4,152
16,5,153
16,6,151
16,7,105
16,8,111
16,9,111
16,10,319
16,11,321
16,12,314
16,13,220
16,14,222
16,15,224
16,16,24
16,17,22
16,18,22
16,19,175
16,20,179
16,21,179
16,22,302
16,23,300
16,24,308
16,25,309
16,26,312
16,27,60
16,28,60
16,29,12112
16,30,12112
16,31,12110
16,32,81
16,33,78
16,34,78
16,35,85
16,36,85
16,37,167
16,38,164
16,39,164
16,40,110
16,41,110
16,42,110
16,43,1
16,44,2
16,45,2
16,46,102
16,47,108
16,48,106
16,49,88
16,50,95
16,51,88
16,52,90
16,53,84
16,54,71
16,55,190
16,56,212
16,57,212
16,58,147
16,59,166
16,60,102
16,61,100
16,62,105
16,63,91
16,64,93
16,65,93
16,66,174
16,67,159
16,68,167
16,69,177
16,70,177
16,71,177
16,72,79
16,73,80
16,74,342
16,75,339
16,76,342
16,77,114
16,78,113
16,79,82
16,80,76
16,81,74
16,82,95
16,83,96
16,84,94
16,85,349
16,86,351
16,87,358
16,88,211
16,89,214
16,90,211
16,91,149
16,92,146
16,93,154
16,94,189
16,95,188
16,96,173
16,97,184
16,98,185
17,1,375
17,2,374
17,3,376
17,4,203
17,5,203
17,6,204
17,7,7
17,8,11
17,9,17
17,10,392
17,11,395
17,12,390
17,13,298
17,14,300
17,15,303
17,16,112
17,17,111
17,18,111
17,19,279
17,20,283
17,21,284
17,22,388
17,23,385
17,24,392
17,25,390
17,26,391
17,27,165
17,28,165
17,29,12217
17,30,12217
17,31,12216
17,32,186
17,33,183
17,34,182
17,35,190
17,36,191
17,37,241
17,38,236
17,39,236
17,40,209
17,41,209
17,42,210
17,43,105
17,44,107
17,45,107
17,46,4
17,47,3
17,48,1
17,49,187
17,50,192
17,51,187
17,52,185
17,53,178
17,54,50
17,55,280
17,56,233
17,57,232
17,58,250
17,59,270
17,60,81
17,61,78
17,62,82
17,63,196
17,64,198
17,65,198
17,66,274
17,67,257
17,68,265
17,69,282
17,70,282
17,71,282
17,72,27
17,73,26
17,74,413
17,75,410
17,76,413
17,77,15
17,78,14
17,79,42
17,80,49
17,81,50
17,82,35
17,83,36
17,84,34
17,85,420
17,86,422
17,87,426
17,88,312
17,89,315
17,90,312
17,91,247
17,92,244
17,93,252
17,94,291
17,95,289
17,96,275
17,97,277
17,98,278
18,1,275
18,2,274
18,3,277
18,4,111
18,5,112
18,6,109
18,7,188
18,8,196
18,9,196
18,10,321
18,11,322
18,12,315
18,13,226
18,14,226
